name,faction ids,type,effect,version
Enervate,"[firmament,obsidian]",Plot,"You can perform the secondary abilities of the puppeted player's strategy cards without spending command tokens; for Leadership, you can perform the primary ability instead.",thunders edge
Siphon,"[firmament,obsidian]",Plot,"When the puppeted player gains commodities, you gain an equal number of trade goods.",thunders edge
Seethe,"[firmament,obsidian]",Plot,"When this card is revealed, destroy all units on a non-home planet controlled by the puppeted player. At the start of the status phase, destroy 1 of the puppeted player's infantry in any system.",thunders edge
Assail,"[firmament,obsidian]",Plot,Apply +1 to the results of each of your combat and unit ability rolls against the puppeted player.,thunders edge
Extract,"[firmament,obsidian]",Plot,"When this card is revealed, gain 1 non-faction technology owned by the puppeted player. When the puppeted player gains a non-faction technology, you may spend 4 resources to gain that technology.",thunders edge
Deep Abyss,deepwrought,Ocean,A card equivalent to a planet card that has resource and influence values 1/1. ,thunders edge
Brine Pool,deepwrought,Ocean,A card equivalent to a planet card that has resource and influence values 1/1. ,thunders edge
Coral Reef,deepwrought,Ocean,A card equivalent to a planet card that has resource and influence values 1/1. ,thunders edge
Ice Shelf,deepwrought,Ocean,A card equivalent to a planet card that has resource and influence values 1/1. ,thunders edge
Lost Fleet,deepwrought,Ocean,A card equivalent to a planet card that has resource and influence values 1/1. ,thunders edge
